condition,segment,n,correct,accuracy,ci_lower,ci_upper
contexto_completo,leve,60,53,0.8833333333333333,0.7782121197582914,0.9423227935994396
contexto_completo,pesado,60,57,0.95,0.8629948352365147,0.9828504978356043
hibrido_sob_demanda,leve,60,54,0.9,0.7985053527602123,0.9533571655261158
hibrido_sob_demanda,pesado,60,31,0.5166666666666667,0.39307810032592494,0.6382495046026722
sem_retrieval,leve,60,0,0.0,0.0,0.06017185214208986
sem_retrieval,pesado,60,0,0.0,0.0,0.06017185214208986
sessao_memoria,leve,60,54,0.9,0.7985053527602123,0.9533571655261158
sessao_memoria,pesado,60,32,0.5333333333333333,0.4089342702715789,0.6537209395856151
sessao_memoria_sem_clash,leve,60,54,0.9,0.7985053527602123,0.9533571655261158
sessao_memoria_sem_clash,pesado,60,39,0.65,0.5236261884175486,0.7583222559398244
topk_estatico,leve,60,40,0.6666666666666666,0.5405686645211968,0.7727073847647731
topk_estatico,pesado,60,29,0.48333333333333334,0.36175049539732784,0.6069218996740751
